Company,NewsID,Year,male_sup_num,white_sup_num,total_sup_num,male_num,white_num,total_num,maleSupers,whiteSupers,male,white
Sturgis Journal,1056,2002,2,3,3,9,13,14,66.7%,100.0%,64.3%,92.9%
Sturgis Journal,1056,2003,2,3,3,9,15,15,66.7%,100.0%,60.0%,100.0%
Sturgis Journal,1056,2005,2,3,3,3,8,8,66.7%,100.0%,37.5%,100.0%
Sturgis Journal,1056,2006,2,3,3,3,9,9,66.7%,100.0%,33.3%,100.0%
Sturgis Journal,1056,2007,2,3,3,3,6,6,66.7%,100.0%,50.0%,100.0%
Sturgis Journal,1056,2010,2,3,3,3,6,6,66.7%,100.0%,50.0%,100.0%
Sturgis Journal,1056,2012,2,3,3,3,6,6,66.7%,100.0%,50.0%,100.0%
Sturgis Journal,1056,2013,1,2,2,3,6,6,50.0%,100.0%,50.0%,100.0%
Sturgis Journal,1056,2014,NULL,1,1,4,5,5,#VALUE!,100.0%,80.0%,100.0%
Three Rivers Commercial,1057,2001,1,2,2,3,5,5,50.0%,100.0%,60.0%,100.0%
Three Rivers Commercial,1057,2007,1,2,2,3,4,4,50.0%,100.0%,75.0%,100.0%
Three Rivers Commercial,1057,2008,0,1,1,2,3,3,0.0%,100.0%,66.7%,100.0%
Three Rivers Commercial,1057,2009,0,1,1,2,3,3,0.0%,100.0%,66.7%,100.0%
Three Rivers Commercial,1057,2010,0,1,1,2,3,3,0.0%,100.0%,66.7%,100.0%
Three Rivers Commercial,1057,2011,0,1,1,4,5,5,0.0%,100.0%,80.0%,100.0%
Three Rivers Commercial,1057,2012,NULL,1,1,2,3,3,#VALUE!,100.0%,66.7%,100.0%
Three Rivers Commercial,1057,2013,NULL,1,1,2,6,6,#VALUE!,100.0%,33.3%,100.0%
Three Rivers Commercial,1057,2014,NULL,1,1,2,3,3,#VALUE!,100.0%,66.7%,100.0%
Albert Lea Tribune,1059,2001,1,1,1,4,6,6,100.0%,100.0%,66.7%,100.0%
Albert Lea Tribune,1059,2002,1,1,1,6,7,8,100.0%,100.0%,75.0%,87.5%
Albert Lea Tribune,1059,2003,2,3,3,7,7,8,66.7%,100.0%,87.5%,87.5%
Albert Lea Tribune,1059,2007,1,1,1,3,7,7,100.0%,100.0%,42.9%,100.0%
Albert Lea Tribune,1059,2008,1,1,1,2,6,6,100.0%,100.0%,33.3%,100.0%
Albert Lea Tribune,1059,2009,2,3,3,5,11,11,66.7%,100.0%,45.5%,100.0%
Albert Lea Tribune,1059,2010,2,3,3,2,5,5,66.7%,100.0%,40.0%,100.0%
Albert Lea Tribune,1059,2011,2,2,2,4,8,8,100.0%,100.0%,50.0%,100.0%
Albert Lea Tribune,1059,2012,1,1,1,2,6,6,100.0%,100.0%,33.3%,100.0%
Albert Lea Tribune,1059,2013,1,1,1,2,5,5,100.0%,100.0%,40.0%,100.0%
Albert Lea Tribune,1059,2014,1,1,1,2,5,5,100.0%,100.0%,40.0%,100.0%
Austin Daily Herald,1060,2001,2,3,3,4,6,6,66.7%,100.0%,66.7%,100.0%
Austin Daily Herald,1060,2002,2,3,3,3,7,7,66.7%,100.0%,42.9%,100.0%
Austin Daily Herald,1060,2003,2,3,3,3,7,8,66.7%,100.0%,37.5%,87.5%
Austin Daily Herald,1060,2007,2,3,3,4,6,6,66.7%,100.0%,66.7%,100.0%
Austin Daily Herald,1060,2008,2,3,3,4,6,6,66.7%,100.0%,66.7%,100.0%
Austin Daily Herald,1060,2010,1,1,1,5,6,6,100.0%,100.0%,83.3%,100.0%
Austin Daily Herald,1060,2012,1,1,1,6,7,7,100.0%,100.0%,85.7%,100.0%
Austin Daily Herald,1060,2013,2,2,2,8,9,9,100.0%,100.0%,88.9%,100.0%
Austin Daily Herald,1060,2014,1,1,1,6,8,8,100.0%,100.0%,75.0%,100.0%
The Daily Pioneer,1061,2001,0,1,1,0,14,14,0.0%,100.0%,0.0%,100.0%
The Daily Pioneer,1061,2002,1,1,1,8,10,10,100.0%,100.0%,80.0%,100.0%
The Pioneer,1061,2003,1,1,1,8,11,11,100.0%,100.0%,72.7%,100.0%
The Pioneer,1061,2004,0,1,1,4,7,7,0.0%,100.0%,57.1%,100.0%
The Pioneer,1061,2005,0,1,1,5,10,11,0.0%,100.0%,45.5%,90.9%
The Pioneer,1061,2006,2,3,3,6,10,10,66.7%,100.0%,60.0%,100.0%
The Pioneer,1061,2007,0,1,1,10,19,19,0.0%,100.0%,52.6%,100.0%
The Pioneer,1061,2008,0,1,1,5,9,9,0.0%,100.0%,55.6%,100.0%
The Pioneer,1061,2009,0,1,1,4,9,9,0.0%,100.0%,44.4%,100.0%
The Pioneer,1061,2010,0,1,1,5,9,9,0.0%,100.0%,55.6%,100.0%
The Pioneer,1061,2011,0,1,1,6,11,11,0.0%,100.0%,54.5%,100.0%
The Pioneer,1061,2012,6,9,9,11,17,17,66.7%,100.0%,64.7%,100.0%
The Brainerd Daily Dispatch,1062,2001,3,4,4,8,13,13,75.0%,100.0%,61.5%,100.0%
The Brainerd Daily Dispatch,1062,2002,3,4,4,10,15,15,75.0%,100.0%,66.7%,100.0%
The Brainerd Daily Dispatch,1062,2003,3,4,4,10,16,16,75.0%,100.0%,62.5%,100.0%
The Brainerd Daily Dispatch,1062,2004,2,3,3,13,18,18,66.7%,100.0%,72.2%,100.0%
Brainerd Dispatch,1062,2005,3,5,5,13,18,18,60.0%,100.0%,72.2%,100.0%
Brainerd Dispatch,1062,2006,3,5,5,13,18,18,60.0%,100.0%,72.2%,100.0%
Brainerd Dispatch,1062,2008,4,5,5,12,16,16,80.0%,100.0%,75.0%,100.0%
Brainerd Dispatch,1062,2009,4,5,5,6,14,14,80.0%,100.0%,42.9%,100.0%
Brainerd Dispatch,1062,2010,5,6,6,10,16,16,83.3%,100.0%,62.5%,100.0%
Brainerd Dispatch,1062,2011,4,4,4,8,14,14,100.0%,100.0%,57.1%,100.0%
Brainerd Dispatch,1062,2012,3,3,3,9,14,14,100.0%,100.0%,64.3%,100.0%
Brainerd Dispatch,1062,2013,3,4,4,15,29,29,75.0%,100.0%,51.7%,100.0%
Brainerd Dispatch,1062,2014,4,4,4,14,20,20,100.0%,100.0%,70.0%,100.0%
Crookston Daily Times,1063,2002,1,1,1,1,5,5,100.0%,100.0%,20.0%,100.0%
Crookston Daily Times,1063,2003,1,1,1,4,5,5,100.0%,100.0%,80.0%,100.0%
Crookston Daily Times,1063,2004,1,1,1,3,3,3,100.0%,100.0%,100.0%,100.0%
Crookston Daily Times,1063,2005,1,1,1,2,3,3,100.0%,100.0%,66.7%,100.0%
Crookston Daily Times,1063,2006,1,1,1,1,3,3,100.0%,100.0%,33.3%,100.0%
Crookston Daily Times,1063,2007,1,1,1,1,3,3,100.0%,100.0%,33.3%,100.0%
Crookston Daily Times,1063,2008,1,1,1,2,3,3,100.0%,100.0%,66.7%,100.0%
Crookston Daily Times,1063,2009,1,1,1,2,3,3,100.0%,100.0%,66.7%,100.0%
Crookston Daily Times,1063,2012,1,1,1,3,4,4,100.0%,100.0%,75.0%,100.0%
Crookston Daily Times,1063,2013,1,1,1,3,5,5,100.0%,100.0%,60.0%,100.0%
Crookston Daily Times,1063,2014,1,1,1,3,4,4,100.0%,100.0%,75.0%,100.0%
Sentinel,1064,2009,1,2,2,4,9,9,50.0%,100.0%,44.4%,100.0%
Sentinel,1064,2010,1,1,1,4,7,7,100.0%,100.0%,57.1%,100.0%
Sentinel,1064,2012,2,2,2,4,8,8,100.0%,100.0%,50.0%,100.0%
Sentinel,1064,2013,2,2,2,2,6,6,100.0%,100.0%,33.3%,100.0%
Sentinel,1064,2014,2,3,3,2,7,7,66.7%,100.0%,28.6%,100.0%
Faribault Daily News,1065,2003,1,3,3,4,8,8,33.3%,100.0%,50.0%,100.0%
Faribault Daily News,1065,2005,0,2,2,6,9,9,0.0%,100.0%,66.7%,100.0%
Faribault Daily News,1065,2006,1,2,2,7,10,10,50.0%,100.0%,70.0%,100.0%
Faribault Daily News,1065,2007,2,3,3,6,9,9,66.7%,100.0%,66.7%,100.0%
Faribault Daily News,1065,2008,2,3,3,6,9,9,66.7%,100.0%,66.7%,100.0%
Faribault Daily News,1065,2011,2,4,4,5,8,9,50.0%,100.0%,55.6%,88.9%
Faribault Daily News,1065,2013,NULL,1,1,5,9,9,#VALUE!,100.0%,55.6%,100.0%
Faribault Daily News,1065,2014,1,2,2,2,5,7,50.0%,100.0%,28.6%,71.4%
Daily Journal,1066,2001,2,3,3,3,6,6,66.7%,100.0%,50.0%,100.0%
Daily Journal,1066,2002,2,3,3,5,7,7,66.7%,100.0%,71.4%,100.0%
Daily Journal,1066,2007,1,2,2,2,6,6,50.0%,100.0%,33.3%,100.0%
Daily Journal,1066,2008,1,2,2,6,9,9,50.0%,100.0%,66.7%,100.0%
Daily Journal,1066,2009,1,1,1,8,14,14,100.0%,100.0%,57.1%,100.0%
Daily Journal,1066,2010,1,2,2,4,7,7,50.0%,100.0%,57.1%,100.0%
Daily Journal,1066,2011,1,1,1,4,6,6,100.0%,100.0%,66.7%,100.0%
Daily Journal,1066,2012,1,1,1,4,5,5,100.0%,100.0%,80.0%,100.0%
Daily Journal,1066,2013,1,2,2,2,5,5,50.0%,100.0%,40.0%,100.0%
Daily Journal,1066,2014,1,2,2,3,5,5,50.0%,100.0%,60.0%,100.0%
The Daily Tribune,1067,2005,2,1,2,6,8,10,100.0%,50.0%,60.0%,80.0%
The Daily Tribune,1067,2006,1,0,1,4,7,8,100.0%,0.0%,50.0%,87.5%
The Daily Tribune,1067,2007,0,1,1,3,8,9,0.0%,100.0%,33.3%,88.9%
The Daily Tribune,1067,2008,1,1,1,5,9,9,100.0%,100.0%,55.6%,100.0%
The Daily Tribune,1067,2010,1,2,2,3,8,8,50.0%,100.0%,37.5%,100.0%
The Daily Tribune,1067,2012,1,2,2,3,8,8,50.0%,100.0%,37.5%,100.0%
The Daily Tribune,1067,2013,NULL,1,1,3,7,7,#VALUE!,100.0%,42.9%,100.0%
The Daily Tribune,1067,2014,1,2,2,4,7,7,50.0%,100.0%,57.1%,100.0%
The Daily Journal,1068,2005,1,1,1,5,5,5,100.0%,100.0%,100.0%,100.0%
The Daily Journal,1068,2007,0,1,1,2,7,7,0.0%,100.0%,28.6%,100.0%
The Daily Journal,1068,2009,0,1,1,2,7,7,0.0%,100.0%,28.6%,100.0%
The Daily Journal,1068,2012,NULL,1,1,1,5,5,#VALUE!,100.0%,20.0%,100.0%
The Daily Journal,1068,2013,NULL,1,1,2,5,5,#VALUE!,100.0%,40.0%,100.0%
The Daily Journal,1068,2014,NULL,1,1,2,5,5,#VALUE!,100.0%,40.0%,100.0%
Independent,1070,2001,4,4,4,10,14,15,100.0%,100.0%,66.7%,93.3%
Independent,1070,2002,3,3,3,8,11,11,100.0%,100.0%,72.7%,100.0%
Independent,1070,2003,3,3,3,7,11,11,100.0%,100.0%,63.6%,100.0%
Independent,1070,2005,1,1,1,7,9,9,100.0%,100.0%,77.8%,100.0%
Independent,1070,2007,3,3,3,6,10,10,100.0%,100.0%,60.0%,100.0%
Independent,1070,2010,1,2,2,3,8,8,50.0%,100.0%,37.5%,100.0%
Independent,1070,2011,2,3,3,5,10,10,66.7%,100.0%,50.0%,100.0%
Independent,1070,2012,2,3,3,5,10,10,66.7%,100.0%,50.0%,100.0%
Independent,1070,2013,2,3,3,10,19,19,66.7%,100.0%,52.6%,100.0%
Independent,1070,2014,2,3,3,6,12,12,66.7%,100.0%,50.0%,100.0%
The Journal,1072,2003,1,4,4,6,9,9,25.0%,100.0%,66.7%,100.0%
The Journal,1072,2004,1,4,4,6,9,9,25.0%,100.0%,66.7%,100.0%
The Journal,1072,2005,1,4,4,6,9,9,25.0%,100.0%,66.7%,100.0%
The Journal,1072,2006,1,3,3,6,9,9,33.3%,100.0%,66.7%,100.0%
The Journal,1072,2007,2,3,3,7,10,10,66.7%,100.0%,70.0%,100.0%
The Journal,1072,2008,2,3,3,7,10,10,66.7%,100.0%,70.0%,100.0%
The Journal,1072,2009,2,4,4,7,10,10,50.0%,100.0%,70.0%,100.0%
The Journal,1072,2010,2,4,4,6,10,10,50.0%,100.0%,60.0%,100.0%
The Journal,1072,2011,2,4,4,6,10,10,50.0%,100.0%,60.0%,100.0%
The Journal,1072,2012,2,3,3,5,8,8,66.7%,100.0%,62.5%,100.0%
The Journal,1072,2013,2,4,4,7,10,10,50.0%,100.0%,70.0%,100.0%
The Journal,1072,2014,2,3,3,6,8,8,66.7%,100.0%,75.0%,100.0%
Owatonna People's Press,1073,2008,1,2,2,5,9,9,50.0%,100.0%,55.6%,100.0%
Owatonna People's Press,1073,2009,1,1,1,3,7,7,100.0%,100.0%,42.9%,100.0%
Owatonna People's Press,1073,2010,1,1,1,4,8,8,100.0%,100.0%,50.0%,100.0%
Owatonna People's Press,1073,2013,2,2,2,6,7,7,100.0%,100.0%,85.7%,100.0%
Owatonna People's Press,1073,2014,2,2,2,7,9,9,100.0%,100.0%,77.8%,100.0%
Red Wing Republican Eagle,1074,2001,2,3,3,6,11,11,66.7%,100.0%,54.5%,100.0%
Red Wing Republican Eagle,1074,2002,1,2,2,6,9,9,50.0%,100.0%,66.7%,100.0%
Red Wing Republican Eagle,1074,2003,1,2,2,6,9,9,50.0%,100.0%,66.7%,100.0%
Red Wing Republican Eagle,1074,2004,0,1,1,5,10,10,0.0%,100.0%,50.0%,100.0%
Red Wing Republican Eagle,1074,2005,1,2,2,4,9,9,50.0%,100.0%,44.4%,100.0%
Red Wing Republican Eagle,1074,2006,0,1,1,4,8,8,0.0%,100.0%,50.0%,100.0%
Red Wing Republican Eagle,1074,2007,1,2,2,4,8,8,50.0%,100.0%,50.0%,100.0%
Red Wing Republican Eagle,1074,2008,1,2,2,4,8,8,50.0%,100.0%,50.0%,100.0%
Red Wing Republican Eagle,1074,2009,0,1,1,3,6,6,0.0%,100.0%,50.0%,100.0%
Red Wing Republican Eagle,1074,2010,1,2,2,4,7,7,50.0%,100.0%,57.1%,100.0%
Red Wing Republican Eagle,1074,2011,1,1,1,6,8,8,100.0%,100.0%,75.0%,100.0%
Red Wing Republican Eagle,1074,2012,NULL,1,1,3,8,8,#VALUE!,100.0%,37.5%,100.0%
Red Wing Republican Eagle,1074,2013,1,2,2,2,6,6,50.0%,100.0%,33.3%,100.0%
Red Wing Republican Eagle,1074,2014,0,1,1,5,10,10,0.0%,100.0%,50.0%,100.0%
St. Cloud Times,1075,2001,6,10,10,20,29,34,60.0%,100.0%,58.8%,85.3%
St. Cloud Times,1075,2002,8,12,12,23,34,39,66.7%,100.0%,59.0%,87.2%
St. Cloud Times,1075,2003,8,12,13,21,34,39,61.5%,92.3%,53.8%,87.2%
St. Cloud Times,1075,2004,6,12,13,21,35,40,46.2%,92.3%,52.5%,87.5%
St. Cloud Times,1075,2005,7,12,14,20,33,39,50.0%,85.7%,51.3%,84.6%
St. Cloud Times,1075,2006,5,10,11,20,33,36,45.5%,90.9%,55.6%,91.7%
St. Cloud Times,1075,2007,6,12,13,25,41,44,46.2%,92.3%,56.8%,93.2%
St. Cloud Times,1075,2008,5,12,13,24,41,44,38.5%,92.3%,54.5%,93.2%
St. Cloud Times,1075,2009,7,11,12,20,36,38,58.3%,91.7%,52.6%,94.7%
St. Cloud Times,1075,2010,8,12,13,19,36,38,61.5%,92.3%,50.0%,94.7%
St. Cloud Times,1075,2011,6,10,11,21,30,33,54.5%,90.9%,63.6%,90.9%
St. Cloud Times,1075,2013,6,9,10,21,31,35,60.0%,90.0%,60.0%,88.6%
St. Cloud Times,1075,2014,6,8,9,22,29,32,66.7%,88.9%,68.8%,90.6%
Stillwater Evening Gazette,1076,2002,1,1,1,4,5,5,100.0%,100.0%,80.0%,100.0%
Stillwater Evening Gazette,1076,2003,1,1,1,4,5,5,100.0%,100.0%,80.0%,100.0%
Stillwater Gazette,1076,2006,1,2,2,3,4,4,50.0%,100.0%,75.0%,100.0%
Stillwater Gazette,1076,2007,1,1,1,4,4,4,100.0%,100.0%,100.0%,100.0%
Stillwater Gazette,1076,2008,1,1,1,4,4,4,100.0%,100.0%,100.0%,100.0%
Stillwater Gazette,1076,2009,1,1,1,4,4,4,100.0%,100.0%,100.0%,100.0%
Stillwater Gazette,1076,2011,1,1,1,3,3,3,100.0%,100.0%,100.0%,100.0%
Stillwater Gazette,1076,2012,2,2,2,10,13,13,100.0%,100.0%,76.9%,100.0%
Stillwater Gazette,1076,2013,1,1,1,2,3,3,100.0%,100.0%,66.7%,100.0%
Stillwater Gazette,1076,2014,1,1,1,2,3,3,100.0%,100.0%,66.7%,100.0%
West Central Tribune,1078,2001,3,3,3,11,16,16,100.0%,100.0%,68.8%,100.0%
West Central Tribune,1078,2002,3,5,5,11,20,20,60.0%,100.0%,55.0%,100.0%
West Central Tribune,1078,2003,2,4,4,11,18,19,50.0%,100.0%,57.9%,94.7%
West Central Tribune,1078,2004,3,5,5,11,18,19,60.0%,100.0%,57.9%,94.7%
West Central Tribune,1078,2006,3,5,5,10,15,15,60.0%,100.0%,66.7%,100.0%
West Central Tribune,1078,2007,3,5,5,12,18,18,60.0%,100.0%,66.7%,100.0%
West Central Tribune,1078,2008,3,5,5,11,17,17,60.0%,100.0%,64.7%,100.0%
West Central Tribune,1078,2010,2,4,4,9,15,15,50.0%,100.0%,60.0%,100.0%
West Central Tribune,1078,2011,2,0,4,9,13,17,50.0%,0.0%,52.9%,76.5%
West Central Tribune,1078,2012,3,5,5,9,16,16,60.0%,100.0%,56.3%,100.0%
West Central Tribune,1078,2013,2,4,4,10,17,17,50.0%,100.0%,58.8%,100.0%
West Central Tribune,1078,2014,4,6,6,6,13,13,66.7%,100.0%,46.2%,100.0%
Daily Globe,1080,2001,2,2,2,7,9,9,100.0%,100.0%,77.8%,100.0%
Daily Globe,1080,2002,3,4,4,3,8,9,75.0%,100.0%,33.3%,88.9%
Daily Globe,1080,2003,3,3,3,5,8,9,100.0%,100.0%,55.6%,88.9%
Daily Globe,1080,2004,3,3,3,5,9,9,100.0%,100.0%,55.6%,100.0%
Daily Globe,1080,2005,3,3,3,5,9,9,100.0%,100.0%,55.6%,100.0%
Daily Globe,1080,2006,3,3,3,6,9,9,100.0%,100.0%,66.7%,100.0%
Daily Globe,1080,2010,2,2,2,4,9,9,100.0%,100.0%,44.4%,100.0%
Daily Globe,1080,2011,2,3,3,5,9,10,66.7%,100.0%,50.0%,90.0%
Daily Globe,1080,2012,2,3,3,5,9,10,66.7%,100.0%,50.0%,90.0%
Daily Globe,1080,2013,2,3,3,6,9,9,66.7%,100.0%,66.7%,100.0%
Daily Leader,1081,2001,2,3,4,5,8,9,50.0%,75.0%,55.6%,88.9%
Daily Leader,1081,2004,2,3,4,4,6,7,50.0%,75.0%,57.1%,85.7%
Daily Leader,1081,2005,3,3,4,5,5,7,75.0%,75.0%,71.4%,71.4%
Daily Leader,1081,2006,2,2,3,4,4,5,66.7%,66.7%,80.0%,80.0%
Press Register,1082,2005,1,1,1,5,4,5,100.0%,100.0%,100.0%,80.0%
Press Register,1082,2006,1,1,1,4,4,4,100.0%,100.0%,100.0%,100.0%
Press Register,1082,2008,1,1,1,3,4,4,100.0%,100.0%,75.0%,100.0%
Press Register,1082,2009,0,1,1,3,3,5,0.0%,100.0%,60.0%,60.0%
Press Register,1082,2010,0,1,1,3,3,4,0.0%,100.0%,75.0%,75.0%
Press Register,1082,2011,1,1,1,3,3,3,100.0%,100.0%,100.0%,100.0%
Press Register,1082,2013,1,2,2,5,5,7,50.0%,100.0%,71.4%,71.4%
Press Register,1082,2014,1,1,1,4,3,6,100.0%,100.0%,66.7%,50.0%
The Bolivar Commercial,1083,2004,1,1,1,3,7,8,100.0%,100.0%,37.5%,87.5%
The Bolivar Commercial,1083,2005,3,3,5,7,10,13,60.0%,60.0%,53.8%,76.9%
The Bolivar Commercial,1083,2006,1,2,2,4,7,8,50.0%,100.0%,50.0%,87.5%
The Bolivar Commercial,1083,2008,1,2,2,4,7,9,50.0%,100.0%,44.4%,77.8%
The Bolivar Commercial,1083,2009,0,1,1,4,7,9,0.0%,100.0%,44.4%,77.8%
The Bolivar Commercial,1083,2010,0,1,1,2,4,6,0.0%,100.0%,33.3%,66.7%
The Bolivar Commercial,1083,2011,2,4,4,4,8,9,50.0%,100.0%,44.4%,88.9%
The Bolivar Commercial,1083,2012,1,2,2,3,5,6,50.0%,100.0%,50.0%,83.3%
The Commercial Dispatch,1084,2009,1,1,2,10,12,15,50.0%,50.0%,66.7%,80.0%
The Commercial Dispatch,1084,2010,1,1,2,10,11,13,50.0%,50.0%,76.9%,84.6%
The Commercial Dispatch,1084,2013,1,2,2,6,9,9,50.0%,100.0%,66.7%,100.0%
The Daily Corinthian,1085,2001,1,1,1,5,8,8,100.0%,100.0%,62.5%,100.0%
The Daily Corinthian,1085,2002,1,1,1,5,7,7,100.0%,100.0%,71.4%,100.0%
The Daily Corinthian,1085,2003,1,1,1,6,8,8,100.0%,100.0%,75.0%,100.0%
The Daily Corinthian,1085,2005,1,2,2,6,8,8,50.0%,100.0%,75.0%,100.0%
The Daily Corinthian,1085,2006,1,2,2,6,8,8,50.0%,100.0%,75.0%,100.0%
The Daily Corinthian,1085,2007,2,3,3,6,8,8,66.7%,100.0%,75.0%,100.0%
The Daily Corinthian,1085,2009,1,1,1,5,8,8,100.0%,100.0%,62.5%,100.0%
The Daily Corinthian,1085,2010,0,1,1,4,7,7,0.0%,100.0%,57.1%,100.0%
The Daily Corinthian,1085,2011,1,1,1,5,8,8,100.0%,100.0%,62.5%,100.0%
The Daily Corinthian,1085,2012,2,2,2,7,12,12,100.0%,100.0%,58.3%,100.0%
The Daily Corinthian,1085,2013,1,1,1,5,7,7,100.0%,100.0%,71.4%,100.0%
The Daily Corinthian,1085,2014,2,2,2,8,10,10,100.0%,100.0%,80.0%,100.0%
Delta Democrat Times,1086,2001,3,3,6,10,11,18,50.0%,50.0%,55.6%,61.1%
Delta Democrat Times,1086,2002,3,3,7,9,7,17,42.9%,42.9%,52.9%,41.2%
Delta Democrat Times,1086,2003,4,3,6,9,8,16,66.7%,50.0%,56.3%,50.0%
Delta Democrat Times,1086,2004,3,2,4,8,6,12,75.0%,50.0%,66.7%,50.0%
Delta Democrat Times,1086,2005,3,3,4,6,5,9,75.0%,75.0%,66.7%,55.6%
Delta Democrat Times,1086,2006,3,4,4,6,7,10,75.0%,100.0%,60.0%,70.0%
Delta Democrat Times,1086,2008,3,4,5,9,12,16,60.0%,80.0%,56.3%,75.0%
Delta Democrat Times,1086,2009,2,2,2,5,7,10,100.0%,100.0%,50.0%,70.0%
Delta Democrat Times,1086,2010,1,1,1,3,3,5,100.0%,100.0%,60.0%,60.0%
Delta Democrat Times,1086,2012,NULL,1,1,4,4,7,#VALUE!,100.0%,57.1%,57.1%
Delta Democrat Times,1086,2013,NULL,1,1,1,2,4,#VALUE!,100.0%,25.0%,50.0%
Delta Democrat Times,1086,2014,1,1,1,6,4,7,100.0%,100.0%,85.7%,57.1%
The Daily Sentinel-Star,1087,2002,0,1,1,1,3,4,0.0%,100.0%,25.0%,75.0%
The Daily Sentinel-Star,1087,2003,0,1,1,1,4,5,0.0%,100.0%,20.0%,80.0%
The Daily Star,1087,2008,0,1,1,2,5,5,0.0%,100.0%,40.0%,100.0%
The Daily Star,1087,2009,0,1,1,2,4,4,0.0%,100.0%,50.0%,100.0%
The Daily Star,1087,2011,1,1,1,2,3,3,100.0%,100.0%,66.7%,100.0%
The Daily Star,1087,2013,1,2,2,5,7,7,50.0%,100.0%,71.4%,100.0%
Hattiesburg American,1088,2001,5,8,9,15,21,25,55.6%,88.9%,60.0%,84.0%
Hattiesburg American,1088,2002,4,6,8,13,19,23,50.0%,75.0%,56.5%,82.6%
Hattiesburg American,1088,2003,5,9,10,14,25,29,50.0%,90.0%,48.3%,86.2%
Hattiesburg American,1088,2004,6,7,8,13,19,23,75.0%,87.5%,56.5%,82.6%
Hattiesburg American,1088,2005,6,7,10,15,21,26,60.0%,70.0%,57.7%,80.8%
Hattiesburg American,1088,2006,6,8,10,13,18,24,60.0%,80.0%,54.2%,75.0%
Hattiesburg American,1088,2007,4,6,9,14,19,26,44.4%,66.7%,53.8%,73.1%
Hattiesburg American,1088,2008,3,6,8,14,19,27,37.5%,75.0%,51.9%,70.4%
Hattiesburg American,1088,2009,2,4,7,13,19,26,28.6%,57.1%,50.0%,73.1%
Hattiesburg American,1088,2010,3,4,6,13,16,20,50.0%,66.7%,65.0%,80.0%
Hattiesburg American,1088,2011,2,3,5,11,11,16,40.0%,60.0%,68.8%,68.8%
Hattiesburg American,1088,2012,1,2,4,10,11,15,25.0%,50.0%,66.7%,73.3%
Hattiesburg American,1088,2013,NULL,1,3,8,12,16,#VALUE!,33.3%,50.0%,75.0%
Hattiesburg American,1088,2014,NULL,1,2,8,13,14,#VALUE!,50.0%,57.1%,92.9%
Laurel Leader-Call,1089,2001,4,6,6,7,9,9,66.7%,100.0%,77.8%,100.0%
Laurel Leader-Call,1089,2003,1,2,2,4,5,6,50.0%,100.0%,66.7%,83.3%
Laurel Leader-Call,1089,2004,1,2,2,6,8,9,50.0%,100.0%,66.7%,88.9%
Laurel Leader-Call,1089,2005,1,2,2,6,8,9,50.0%,100.0%,66.7%,88.9%
Laurel Leader-Call,1089,2006,2,3,3,6,10,10,66.7%,100.0%,60.0%,100.0%
Laurel Leader-Call,1089,2007,2,4,4,8,14,14,50.0%,100.0%,57.1%,100.0%
Laurel Leader-Call,1089,2008,3,4,4,6,7,8,75.0%,100.0%,75.0%,87.5%
Laurel Leader-Call,1089,2009,2,3,3,6,8,10,66.7%,100.0%,60.0%,80.0%
Laurel Leader-Call,1089,2011,2,2,2,6,8,12,100.0%,100.0%,50.0%,66.7%
Laurel Leader-Call,1089,2012,1,1,1,1,1,3,100.0%,100.0%,33.3%,33.3%
Laurel Leader-Call,1089,2013,1,1,1,2,2,3,100.0%,100.0%,66.7%,66.7%
Laurel Leader-Call,1089,2014,3,3,3,4,5,5,100.0%,100.0%,80.0%,100.0%
The Meridian Star,1090,2009,8,13,14,16,26,28,57.1%,92.9%,57.1%,92.9%
The Meridian Star,1090,2011,2,3,4,17,25,28,50.0%,75.0%,60.7%,89.3%
The Oxford Eagle,1091,2003,3,4,4,7,8,9,75.0%,100.0%,77.8%,88.9%
The Oxford Eagle,1091,2004,2,2,2,5,7,7,100.0%,100.0%,71.4%,100.0%
The Oxford Eagle,1091,2005,2,3,3,5,8,8,66.7%,100.0%,62.5%,100.0%
The Oxford Eagle,1091,2006,3,3,3,5,8,8,100.0%,100.0%,62.5%,100.0%
The Oxford Eagle,1091,2007,2,3,3,5,9,9,66.7%,100.0%,55.6%,100.0%
The Oxford Eagle,1091,2008,4,4,4,7,10,10,100.0%,100.0%,70.0%,100.0%
The Oxford Eagle,1091,2009,4,4,4,9,12,12,100.0%,100.0%,75.0%,100.0%
The Oxford Eagle,1091,2011,2,2,2,6,8,8,100.0%,100.0%,75.0%,100.0%
The Oxford Eagle,1091,2012,4,4,4,7,9,9,100.0%,100.0%,77.8%,100.0%
The Oxford Eagle,1091,2013,2,2,2,6,8,8,100.0%,100.0%,75.0%,100.0%
The Oxford Eagle,1091,2014,3,4,4,6,9,9,75.0%,100.0%,66.7%,100.0%
The Mississippi Press,1092,2008,2,3,3,8,14,14,66.7%,100.0%,57.1%,100.0%
The Mississippi Press,1092,2009,1,2,2,3,9,9,50.0%,100.0%,33.3%,100.0%
The Mississippi Press,1092,2010,0,1,1,3,8,8,0.0%,100.0%,37.5%,100.0%
The Mississippi Press,1092,2011,2,2,2,5,11,11,100.0%,100.0%,45.5%,100.0%
The Mississippi Press,1092,2012,1,1,1,4,9,9,100.0%,100.0%,44.4%,100.0%
